Black Stories Investigation,,1,B,Karten,Rätsel,Karten,6.1,2017,2,4,30,30,6,1,x,,,https://boardgamegeek.com/boardgame/227981/black-stories-investigation
Black Stories: Superheroes Edition,Black Stories Superheroes Edition Black Stories Superhelden,1,B,Karten,Rätsel,Karten,5.3,2017,2,99,2,222,12,1,x,,,https://boardgamegeek.com/boardgame/237588/black-stories-superheroes-edition
Blitz Zebra Astronaut,BlitZebrAstronaut,3,B,Normal,Familie,Plättchen,6.9,2025,2,6,15,15,7,1,,,,https://boardgamegeek.com/boardgame/453997/blitz-zebra-astronaut
Blitzwisser,Blitz Wisser,2,B,Normal,Quiz,Brett,7.6,2025,2,4,15,25,10,1,,,,https://boardgamegeek.com/boardgame/452285/blitzwisser
Blockers!,,1,B,Normal,Strategie,Brett,6.6,2007,2,5,30,40,8,1.69,,,,https://boardgamegeek.com/boardgame/29073/blockers
Blockits,,3,B,Normal,Familie,Würfel,7.7,2022,2,4,20,20,8,1.6,,,,https://boardgamegeek.com/boardgame/369384/blockits
Blocky Mountains,,1,B,Kind,Geschick,Material,6.5,2018,1,4,2,30,3,1,y,,,https://boardgamegeek.com/boardgame/261020/blocky-mountains
Blokus,,2,B,Normal,Familie,Brett,6.9,2000,2,4,20,20,7,1.74,,,,https://boardgamegeek.com/boardgame/2453/blokus
Blokus Duo,,1,B,Zwei,Strategie,Brett,6.8,2005,2,2,10,20,5,1.68,,,,https://boardgamegeek.com/boardgame/16395/blokus-duo
Bloom,,1,B,Normal,Familie,Plättchen,7,2024,2,5,30,60,8,1.5,,,,https://boardgamegeek.com/boardgame/430613/bloom
Bloxx!,,1,B,Normal,Familie,Würfel,6.3,2018,2,4,15,15,5,1,,,,https://boardgamegeek.com/boardgame/264242/bloxx
Bloxx!,,3,B,Kind,Familie,Würfel,6.3,2018,2,4,15,15,5,1,,,,https://boardgamegeek.com/boardgame/264242/bloxx
Blubbern,,2,B,Kind,Familie,Karten,7,2025,2,4,10,15,5,1,,,,https://boardgamegeek.com/boardgame/440221/blubbern
Blue Banana,,1,B,Normal,Party,Karten,6.6,2019,2,5,20,20,10,1.5,,,,https://boardgamegeek.com/boardgame/288424/blue-banana
Blue Moon,,1,B,Zwei,Strategie,Karten,6.7,2004,2,2,30,30,10,2.17,,,,https://boardgamegeek.com/boardgame/9446/blue-moon
Bluff,,2,B,Normal,Party,Würfel,6.9,1800,2,6,15,30,8,1.25,,,,https://boardgamegeek.com/boardgame/45/perudo
Bohemians,,2,B,Normal,Familie,Karten,7,2025,1,4,45,60,14,2.13,,,,https://boardgamegeek.com/boardgame/437384/bohemians
Bohnanza,,4,B,Karten,Familie,Karten,7.1,1997,2,7,45,45,12,1.67,,,,https://boardgamegeek.com/boardgame/11/bohnanza
Bohnanza: Dahlia,Bohnanza Dahlia,2,B,Normal,Familie,Karten,7.7,2023,3,5,45,45,6,1.25,,,,https://boardgamegeek.com/boardgame/386906/bohnanza-dahlias
Bomb Busters,,10,B,Normal,Familie,Material,8,2024,2,5,30,30,10,1.94,x,,,https://boardgamegeek.com/boardgame/413246/bomb-busters
Bonsai,,2,B,Normal,Familie,Plättchen,7.2,2023,1,4,40,40,10,1.88,,,,https://boardgamegeek.com/boardgame/366994/bonsai
"Boom, Bang, Gold",,2,B,Kind,Party,Brett,6,2017,2,4,20,20,5,1.17,,,,https://boardgamegeek.com/boardgame/235467/boom-bang-gold
Bora Bora,,1,B,Normal,Strategie,Tableau,7.6,2013,2,4,60,120,12,3.73,,,,https://boardgamegeek.com/boardgame/127060/bora-bora
Boreal,,1,B,Normal,Familie,Tableau,6.5,2024,2,2,15,20,8,1.42,,,,https://boardgamegeek.com/boardgame/400266/boreal
Botanicus,,12,B,Normal,Familie,Brett,7.5,2024,2,4,45,60,10,2.19,,,,https://boardgamegeek.com/boardgame/413260/botanicus
Bremerhaven,,1,B,Normal,Strategie,Tableau,6.5,2013,1,4,60,120,12,3.1,,,,https://boardgamegeek.com/boardgame/137237/bremerhaven
Brilliant,,3,B,Karten,Familie,Würfel,6.7,2025,1,6,15,25,8,1.33,,,,https://boardgamegeek.com/boardgame/437273/brilliant
Bronze,,1,B,Normal,Familie,Brett,6.8,2017,2,4,45,90,10,2.33,,,,https://boardgamegeek.com/boardgame/230746/bronze
Broom Service,,2,B,Normal,Familie,Brett,7.2,2015,2,5,30,75,10,2.4,,,,https://boardgamegeek.com/boardgame/172308/broom-service
Brügge,,3,B,Normal,Strategie,Brett,7.4,2013,2,4,60,60,13,2.75,,,,https://boardgamegeek.com/boardgame/136888/bruges
Brüssel 1897,,3,B,Normal,Strategie,Brett,7.2,2019,2,4,40,60,10,2.86,,,,https://boardgamegeek.com/boardgame/275913/bruxelles-1897
Bubble Trouble,,1,B,Kind,Geschick,Brett,6.1,2022,1,4,15,25,5,1,x,,,https://boardgamegeek.com/boardgame/341701/bubble-trouble
Bücherwurm: Das Würfelspiel,Bücher-Wurm Bücher Wurm Würfelspiel,2,B,Karten,Familie,Würfel,4.9,2019,2,6,15,30,8,1,,,,https://boardgamegeek.com/boardgame/286748/bookworm-the-dice-game
Buchstaben: Domino,,1,B,Kind,Familie,Karten,4.5,2019,2,6,10,10,6,1,,,,https://boardgamegeek.com/boardgame/269638/
Bumúntú,Bumuntu,2,B,Normal,Familie,Brett,7,2019,2,5,20,40,8,1.8,,,,https://boardgamegeek.com/boardgame/201006/bumuntu
Bunny Kingdom,,1,B,Normal,Familie,Brett,7.4,2017,2,4,40,60,12,2.3,,,,https://boardgamegeek.com/boardgame/184921/bunny-kingdom
Buntikus,,2,B,Kind,Familie,Würfel,6.2,2020,2,4,10,10,3,1,,,,https://boardgamegeek.com/boardgame/296353/color-it
Burg Appenzell,,1,B,Kind,Familie,Brett,6.8,2007,2,4,30,30,6,1.59,,,,https://boardgamegeek.com/boardgame/28089/
Burg Flatterstein,,2,B,Kind,Geschick,Brett,6.3,2016,2,4,15,25,4,1.5,,,,https://boardgamegeek.com/boardgame/191065/castle-flutterstone
Burg Klapperfalle,,1,B,Kind,Familie,Brett,6.2,2020,2,4,20,20,4,2,,,,https://boardgamegeek.com/boardgame/327405/patatrap-quest
Burg Kletterfrosch,,1,B,Kind,Geschick,Brett,6.6,2017,2,4,20,20,5,1.5,,,,https://boardgamegeek.com/boardgame/237715/castle-climbing-frog
Burg Schlummerschatz,,1,B,Kind,Familie,Plättchen,6.6,2015,1,4,10,0,4,1.17,,,,https://boardgamegeek.com/boardgame/183401/
Burger Slam,,2,B,Karten,Party,Karten,5.3,2024,2,5,20,20,8,1.25,,,,https://boardgamegeek.com/boardgame/424731/burger-slam
By the Book,,2,B,Normal,Geschick,Material,,2023,1,99,10,10,8,1,x,,,
Codenames: Duett,,3,B,Zwei,Familie,Karten,7.4,2017,2,2,15,30,12,1.36,x,,,https://boardgamegeek.com/boardgame/224037/codenames-duet
